Entity,Code,Year,Age of electoral democracy
Afghanistan,AFG,1865,not an electoral democracy
Afghanistan,AFG,1866,not an electoral democracy
Afghanistan,AFG,1867,not an electoral democracy
Afghanistan,AFG,1868,not an electoral democracy
Afghanistan,AFG,1869,not an electoral democracy
Afghanistan,AFG,1870,not an electoral democracy
Afghanistan,AFG,1871,not an electoral democracy
Afghanistan,AFG,1872,not an electoral democracy
Afghanistan,AFG,1873,not an electoral democracy
Afghanistan,AFG,1874,not an electoral democracy
Afghanistan,AFG,1875,not an electoral democracy
Afghanistan,AFG,1876,not an electoral democracy
Afghanistan,AFG,1877,not an electoral democracy
Afghanistan,AFG,1878,not an electoral democracy
Afghanistan,AFG,1879,not an electoral democracy
Afghanistan,AFG,1880,not an electoral democracy
Afghanistan,AFG,1881,not an electoral democracy
Afghanistan,AFG,1882,not an electoral democracy
Afghanistan,AFG,1883,not an electoral democracy
Afghanistan,AFG,1884,not an electoral democracy
Afghanistan,AFG,1885,not an electoral democracy
Afghanistan,AFG,1886,not an electoral democracy
Afghanistan,AFG,1887,not an electoral democracy
Afghanistan,AFG,1888,not an electoral democracy
Afghanistan,AFG,1889,not an electoral democracy
Afghanistan,AFG,1890,not an electoral democracy
Afghanistan,AFG,1891,not an electoral democracy
Afghanistan,AFG,1892,not an electoral democracy
Afghanistan,AFG,1893,not an electoral democracy
Afghanistan,AFG,1894,not an electoral democracy
Afghanistan,AFG,1895,not an electoral democracy
Afghanistan,AFG,1896,not an electoral democracy
Afghanistan,AFG,1897,not an electoral democracy
Afghanistan,AFG,1898,not an electoral democracy
Afghanistan,AFG,1899,not an electoral democracy
Afghanistan,AFG,1900,not an electoral democracy
Afghanistan,AFG,1901,not an electoral democracy
Afghanistan,AFG,1902,not an electoral democracy
Afghanistan,AFG,1903,not an electoral democracy
Afghanistan,AFG,1904,not an electoral democracy
Afghanistan,AFG,1905,not an electoral democracy
Afghanistan,AFG,1906,not an electoral democracy
Afghanistan,AFG,1907,not an electoral democracy
Afghanistan,AFG,1908,not an electoral democracy
Afghanistan,AFG,1909,not an electoral democracy
Afghanistan,AFG,1910,not an electoral democracy
Afghanistan,AFG,1911,not an electoral democracy
Afghanistan,AFG,1912,not an electoral democracy
Afghanistan,AFG,1913,not an electoral democracy
Afghanistan,AFG,1914,not an electoral democracy
Afghanistan,AFG,1915,not an electoral democracy
Afghanistan,AFG,1916,not an electoral democracy
Afghanistan,AFG,1917,not an electoral democracy
Afghanistan,AFG,1918,not an electoral democracy
Afghanistan,AFG,1919,not an electoral democracy
Afghanistan,AFG,1920,not an electoral democracy
Afghanistan,AFG,1921,not an electoral democracy
Afghanistan,AFG,1922,not an electoral democracy
Afghanistan,AFG,1923,not an electoral democracy
Afghanistan,AFG,1924,not an electoral democracy
Afghanistan,AFG,1925,not an electoral democracy
Afghanistan,AFG,1926,not an electoral democracy
Afghanistan,AFG,1927,not an electoral democracy
Afghanistan,AFG,1928,not an electoral democracy
Afghanistan,AFG,1929,not an electoral democracy
Afghanistan,AFG,1930,not an electoral democracy
Afghanistan,AFG,1931,not an electoral democracy
Afghanistan,AFG,1932,not an electoral democracy
Afghanistan,AFG,1933,not an electoral democracy
Afghanistan,AFG,1934,not an electoral democracy
Afghanistan,AFG,1935,not an electoral democracy
Afghanistan,AFG,1936,not an electoral democracy
Afghanistan,AFG,1937,not an electoral democracy
Afghanistan,AFG,1938,not an electoral democracy
Afghanistan,AFG,1939,not an electoral democracy
Afghanistan,AFG,1940,not an electoral democracy
Afghanistan,AFG,1941,not an electoral democracy
Afghanistan,AFG,1942,not an electoral democracy
Afghanistan,AFG,1943,not an electoral democracy
Afghanistan,AFG,1944,not an electoral democracy
Afghanistan,AFG,1945,not an electoral democracy
Afghanistan,AFG,1946,not an electoral democracy
Afghanistan,AFG,1947,not an electoral democracy
Afghanistan,AFG,1948,not an electoral democracy
Afghanistan,AFG,1949,not an electoral democracy
Afghanistan,AFG,1950,not an electoral democracy
Afghanistan,AFG,1951,not an electoral democracy
Afghanistan,AFG,1952,not an electoral democracy
Afghanistan,AFG,1953,not an electoral democracy
Afghanistan,AFG,1954,not an electoral democracy
Afghanistan,AFG,1955,not an electoral democracy
Afghanistan,AFG,1956,not an electoral democracy
Afghanistan,AFG,1957,not an electoral democracy
Afghanistan,AFG,1958,not an electoral democracy
Afghanistan,AFG,1959,not an electoral democracy
Afghanistan,AFG,1960,not an electoral democracy
Afghanistan,AFG,1961,not an electoral democracy
Afghanistan,AFG,1962,not an electoral democracy
Afghanistan,AFG,1963,not an electoral democracy
Afghanistan,AFG,1964,not an electoral democracy
Afghanistan,AFG,1965,not an electoral democracy
Afghanistan,AFG,1966,not an electoral democracy
Afghanistan,AFG,1967,not an electoral democracy
Afghanistan,AFG,1968,not an electoral democracy
Afghanistan,AFG,1969,not an electoral democracy
Afghanistan,AFG,1970,not an electoral democracy
Afghanistan,AFG,1971,not an electoral democracy
Afghanistan,AFG,1972,not an electoral democracy
Afghanistan,AFG,1973,not an electoral democracy
Afghanistan,AFG,1974,not an electoral democracy
Afghanistan,AFG,1975,not an electoral democracy
Afghanistan,AFG,1976,not an electoral democracy
Afghanistan,AFG,1977,not an electoral democracy
Afghanistan,AFG,1978,not an electoral democracy
Afghanistan,AFG,1979,not an electoral democracy
Afghanistan,AFG,1980,not an electoral democracy
Afghanistan,AFG,1981,not an electoral democracy
Afghanistan,AFG,1982,not an electoral democracy
Afghanistan,AFG,1983,not an electoral democracy
Afghanistan,AFG,1984,not an electoral democracy
Afghanistan,AFG,1985,not an electoral democracy
Afghanistan,AFG,1986,not an electoral democracy
Afghanistan,AFG,1987,not an electoral democracy
Afghanistan,AFG,1988,not an electoral democracy
Afghanistan,AFG,1989,not an electoral democracy
Afghanistan,AFG,1990,not an electoral democracy
Afghanistan,AFG,1991,not an electoral democracy
Afghanistan,AFG,1992,not an electoral democracy
Afghanistan,AFG,1993,not an electoral democracy
Afghanistan,AFG,1994,not an electoral democracy
Afghanistan,AFG,1995,not an electoral democracy
Afghanistan,AFG,1996,not an electoral democracy
Afghanistan,AFG,1997,not an electoral democracy
Afghanistan,AFG,1998,not an electoral democracy
Afghanistan,AFG,1999,not an electoral democracy
Afghanistan,AFG,2000,not an electoral democracy
Afghanistan,AFG,2001,not an electoral democracy
Afghanistan,AFG,2002,not an electoral democracy
Afghanistan,AFG,2003,not an electoral democracy
Afghanistan,AFG,2004,not an electoral democracy
Afghanistan,AFG,2005,not an electoral democracy
Afghanistan,AFG,2006,not an electoral democracy
Afghanistan,AFG,2007,not an electoral democracy
Afghanistan,AFG,2008,not an electoral democracy
Afghanistan,AFG,2009,not an electoral democracy
Afghanistan,AFG,2010,not an electoral democracy
Afghanistan,AFG,2011,not an electoral democracy
Afghanistan,AFG,2012,not an electoral democracy
Afghanistan,AFG,2013,not an electoral democracy
Afghanistan,AFG,2014,not an electoral democracy
Afghanistan,AFG,2015,not an electoral democracy
Afghanistan,AFG,2016,not an electoral democracy
Afghanistan,AFG,2017,not an electoral democracy
Afghanistan,AFG,2018,not an electoral democracy
Afghanistan,AFG,2019,not an electoral democracy
Afghanistan,AFG,2020,not an electoral democracy
Albania,ALB,1789,no data
Albania,ALB,1790,no data
Albania,ALB,1791,no data
Albania,ALB,1792,no data
Albania,ALB,1793,no data
Albania,ALB,1794,no data
Albania,ALB,1795,no data
Albania,ALB,1796,no data
Albania,ALB,1797,no data
Albania,ALB,1798,no data
Albania,ALB,1799,no data
Albania,ALB,1800,no data
Albania,ALB,1801,no data
Albania,ALB,1802,no data
Albania,ALB,1803,no data
Albania,ALB,1804,no data
Albania,ALB,1805,no data
Albania,ALB,1806,no data
Albania,ALB,1807,no data
Albania,ALB,1808,no data
Albania,ALB,1809,no data
Albania,ALB,1810,no data
Albania,ALB,1811,no data
Albania,ALB,1812,no data
Albania,ALB,1813,no data
Albania,ALB,1814,no data
Albania,ALB,1815,no data
Albania,ALB,1816,no data
Albania,ALB,1817,no data
Albania,ALB,1818,no data
Albania,ALB,1819,no data
Albania,ALB,1820,no data
Albania,ALB,1821,no data
Albania,ALB,1822,no data
Albania,ALB,1823,no data
Albania,ALB,1824,no data
Albania,ALB,1825,no data
Albania,ALB,1826,no data
Albania,ALB,1827,no data
Albania,ALB,1828,no data
Albania,ALB,1829,no data
Albania,ALB,1830,no data
Albania,ALB,1831,no data
Albania,ALB,1832,no data
Albania,ALB,1833,no data
Albania,ALB,1834,no data
Albania,ALB,1835,no data
Albania,ALB,1836,no data
Albania,ALB,1837,no data
Albania,ALB,1838,no data
Albania,ALB,1839,no data
Albania,ALB,1840,no data
Albania,ALB,1841,no data
Albania,ALB,1842,no data
Albania,ALB,1843,no data
Albania,ALB,1844,no data
Albania,ALB,1845,no data
Albania,ALB,1846,no data
Albania,ALB,1847,no data
Albania,ALB,1848,no data
Albania,ALB,1849,no data
Albania,ALB,1850,no data
Albania,ALB,1851,no data
Albania,ALB,1852,no data
Albania,ALB,1853,no data
Albania,ALB,1854,no data
Albania,ALB,1855,no data
Albania,ALB,1856,no data
Albania,ALB,1857,no data
Albania,ALB,1858,no data
Albania,ALB,1859,no data
Albania,ALB,1860,no data
Albania,ALB,1861,no data
Albania,ALB,1862,no data
Albania,ALB,1863,no data
Albania,ALB,1864,no data
Albania,ALB,1865,no data
Albania,ALB,1866,no data
Albania,ALB,1867,no data
Albania,ALB,1868,no data
Albania,ALB,1869,no data
Albania,ALB,1870,no data
Albania,ALB,1871,no data
Albania,ALB,1872,no data
Albania,ALB,1873,no data
Albania,ALB,1874,no data
Albania,ALB,1875,no data
Albania,ALB,1876,no data
Albania,ALB,1877,no data
Albania,ALB,1878,no data
Albania,ALB,1879,no data
Albania,ALB,1880,no data
Albania,ALB,1881,no data
Albania,ALB,1882,no data
Albania,ALB,1883,no data
Albania,ALB,1884,no data
Albania,ALB,1885,no data
Albania,ALB,1886,no data
Albania,ALB,1887,no data
Albania,ALB,1888,no data
Albania,ALB,1889,no data
Albania,ALB,1890,no data
Albania,ALB,1891,no data
Albania,ALB,1892,no data
Albania,ALB,1893,no data
Albania,ALB,1894,no data
Albania,ALB,1895,no data
Albania,ALB,1896,no data
Albania,ALB,1897,no data
Albania,ALB,1898,no data
Albania,ALB,1899,no data
Albania,ALB,1900,no data
Albania,ALB,1901,no data
Albania,ALB,1902,no data
Albania,ALB,1903,no data
Albania,ALB,1904,no data
Albania,ALB,1905,no data
Albania,ALB,1906,no data
Albania,ALB,1907,no data
Albania,ALB,1908,no data
Albania,ALB,1909,no data
Albania,ALB,1910,no data
Albania,ALB,1911,no data
Albania,ALB,1912,no data
Albania,ALB,1913,no data
Albania,ALB,1914,not an electoral democracy
Albania,ALB,1915,not an electoral democracy
Albania,ALB,1916,not an electoral democracy
Albania,ALB,1917,not an electoral democracy
Albania,ALB,1918,not an electoral democracy
Albania,ALB,1919,not an electoral democracy
Albania,ALB,1920,not an electoral democracy
Albania,ALB,1921,not an electoral democracy
Albania,ALB,1922,not an electoral democracy
Albania,ALB,1923,not an electoral democracy
Albania,ALB,1924,not an electoral democracy
Albania,ALB,1925,not an electoral democracy
Albania,ALB,1926,not an electoral democracy
Albania,ALB,1927,not an electoral democracy
Albania,ALB,1928,not an electoral democracy
Albania,ALB,1929,not an electoral democracy
Albania,ALB,1930,not an electoral democracy
Albania,ALB,1931,not an electoral democracy
Albania,ALB,1932,not an electoral democracy
Albania,ALB,1933,not an electoral democracy
Albania,ALB,1934,not an electoral democracy
Albania,ALB,1935,not an electoral democracy
Albania,ALB,1936,not an electoral democracy
Albania,ALB,1937,not an electoral democracy
Albania,ALB,1938,not an electoral democracy
Albania,ALB,1939,not an electoral democracy
Albania,ALB,1940,not an electoral democracy
Albania,ALB,1941,not an electoral democracy
Albania,ALB,1942,not an electoral democracy
Albania,ALB,1943,not an electoral democracy
Albania,ALB,1944,not an electoral democracy
Albania,ALB,1945,not an electoral democracy
Albania,ALB,1946,not an electoral democracy
Albania,ALB,1947,not an electoral democracy
Albania,ALB,1948,not an electoral democracy
Albania,ALB,1949,not an electoral democracy
Albania,ALB,1950,not an electoral democracy
Albania,ALB,1951,not an electoral democracy
Albania,ALB,1952,not an electoral democracy
Albania,ALB,1953,not an electoral democracy
Albania,ALB,1954,not an electoral democracy
Albania,ALB,1955,not an electoral democracy
Albania,ALB,1956,not an electoral democracy
Albania,ALB,1957,not an electoral democracy
Albania,ALB,1958,not an electoral democracy
Albania,ALB,1959,not an electoral democracy
Albania,ALB,1960,not an electoral democracy
Albania,ALB,1961,not an electoral democracy
Albania,ALB,1962,not an electoral democracy
Albania,ALB,1963,not an electoral democracy
Albania,ALB,1964,not an electoral democracy
Albania,ALB,1965,not an electoral democracy
Albania,ALB,1966,not an electoral democracy
Albania,ALB,1967,not an electoral democracy
Albania,ALB,1968,not an electoral democracy
Albania,ALB,1969,not an electoral democracy
Albania,ALB,1970,not an electoral democracy
Albania,ALB,1971,not an electoral democracy
Albania,ALB,1972,not an electoral democracy
Albania,ALB,1973,not an electoral democracy
Albania,ALB,1974,not an electoral democracy
Albania,ALB,1975,not an electoral democracy
Albania,ALB,1976,not an electoral democracy
Albania,ALB,1977,not an electoral democracy
Albania,ALB,1978,not an electoral democracy
Albania,ALB,1979,not an electoral democracy
Albania,ALB,1980,not an electoral democracy
Albania,ALB,1981,not an electoral democracy
Albania,ALB,1982,not an electoral democracy
Albania,ALB,1983,not an electoral democracy
Albania,ALB,1984,not an electoral democracy
Albania,ALB,1985,not an electoral democracy
Albania,ALB,1986,not an electoral democracy
Albania,ALB,1987,not an electoral democracy
Albania,ALB,1988,not an electoral democracy
Albania,ALB,1989,not an electoral democracy
Albania,ALB,1990,not an electoral democracy
Albania,ALB,1991,not an electoral democracy
Albania,ALB,1992,not an electoral democracy
Albania,ALB,1993,not an electoral democracy
Albania,ALB,1994,not an electoral democracy
Albania,ALB,1995,not an electoral democracy
Albania,ALB,1996,not an electoral democracy
Albania,ALB,1997,not an electoral democracy
Albania,ALB,1998,not an electoral democracy
Albania,ALB,1999,not an electoral democracy
Albania,ALB,2000,not an electoral democracy
Albania,ALB,2001,not an electoral democracy
Albania,ALB,2002,not an electoral democracy
Albania,ALB,2003,not an electoral democracy
Albania,ALB,2004,not an electoral democracy
Albania,ALB,2005,1
Albania,ALB,2006,2
Albania,ALB,2007,3
Albania,ALB,2008,4
Albania,ALB,2009,5
Albania,ALB,2010,6
Albania,ALB,2011,7
Albania,ALB,2012,8
Albania,ALB,2013,9
Albania,ALB,2014,10
Albania,ALB,2015,11
Albania,ALB,2016,12
Albania,ALB,2017,13
Albania,ALB,2018,14
Albania,ALB,2019,not an electoral democracy
Albania,ALB,2020,1
Algeria,DZA,1789,no data
Algeria,DZA,1790,no data
Algeria,DZA,1791,no data
Algeria,DZA,1792,no data
Algeria,DZA,1793,no data
Algeria,DZA,1794,no data
Algeria,DZA,1795,no data
Algeria,DZA,1796,no data
Algeria,DZA,1797,no data
Algeria,DZA,1798,no data
Algeria,DZA,1799,no data
Algeria,DZA,1800,no data
Algeria,DZA,1801,no data
Algeria,DZA,1802,no data
Algeria,DZA,1803,no data
Algeria,DZA,1804,no data
Algeria,DZA,1805,no data
Algeria,DZA,1806,no data
Algeria,DZA,1807,no data
Algeria,DZA,1808,no data
Algeria,DZA,1809,no data
Algeria,DZA,1810,no data
Algeria,DZA,1811,no data
Algeria,DZA,1812,no data
Algeria,DZA,1813,no data
Algeria,DZA,1814,no data
Algeria,DZA,1815,no data
Algeria,DZA,1816,no data
Algeria,DZA,1817,no data
Algeria,DZA,1818,no data
Algeria,DZA,1819,no data
Algeria,DZA,1820,no data
Algeria,DZA,1821,no data
Algeria,DZA,1822,no data
Algeria,DZA,1823,no data
Algeria,DZA,1824,no data
Algeria,DZA,1825,no data
Algeria,DZA,1826,no data
Algeria,DZA,1827,no data
Algeria,DZA,1828,no data
Algeria,DZA,1829,no data
Algeria,DZA,1830,no data
Algeria,DZA,1831,no data
Algeria,DZA,1832,no data
Algeria,DZA,1833,no data
Algeria,DZA,1834,no data
Algeria,DZA,1835,no data
Algeria,DZA,1836,no data
Algeria,DZA,1837,no data
Algeria,DZA,1838,no data
Algeria,DZA,1839,no data
Algeria,DZA,1840,no data
Algeria,DZA,1841,no data
Algeria,DZA,1842,no data
Algeria,DZA,1843,no data
Algeria,DZA,1844,no data
Algeria,DZA,1845,no data
Algeria,DZA,1846,no data
Algeria,DZA,1847,no data
Algeria,DZA,1848,no data
Algeria,DZA,1849,no data
Algeria,DZA,1850,no data
Algeria,DZA,1851,no data
Algeria,DZA,1852,no data
Algeria,DZA,1853,no data
Algeria,DZA,1854,no data
Algeria,DZA,1855,no data
Algeria,DZA,1856,no data
Algeria,DZA,1857,no data
Algeria,DZA,1858,no data
Algeria,DZA,1859,no data
Algeria,DZA,1860,no data
Algeria,DZA,1861,no data
Algeria,DZA,1862,no data
Algeria,DZA,1863,no data
Algeria,DZA,1864,no data
Algeria,DZA,1865,no data
Algeria,DZA,1866,no data
Algeria,DZA,1867,no data
Algeria,DZA,1868,no data
Algeria,DZA,1869,no data
Algeria,DZA,1870,no data
Algeria,DZA,1871,no data
Algeria,DZA,1872,no data
Algeria,DZA,1873,no data
Algeria,DZA,1874,no data
Algeria,DZA,1875,no data
Algeria,DZA,1876,no data
Algeria,DZA,1877,no data
Algeria,DZA,1878,no data
Algeria,DZA,1879,no data
Algeria,DZA,1880,no data
Algeria,DZA,1881,no data
Algeria,DZA,1882,no data
Algeria,DZA,1883,no data
Algeria,DZA,1884,no data
Algeria,DZA,1885,no data
Algeria,DZA,1886,no data
Algeria,DZA,1887,no data
Algeria,DZA,1888,no data
Algeria,DZA,1889,no data
Algeria,DZA,1890,no data
Algeria,DZA,1891,no data
Algeria,DZA,1892,no data
Algeria,DZA,1893,no data
Algeria,DZA,1894,no data
Algeria,DZA,1895,no data
Algeria,DZA,1896,no data
Algeria,DZA,1897,no data
Algeria,DZA,1898,no data
Algeria,DZA,1899,no data
Algeria,DZA,1900,not an electoral democracy
Algeria,DZA,1901,not an electoral democracy
Algeria,DZA,1902,not an electoral democracy
Algeria,DZA,1903,not an electoral democracy
Algeria,DZA,1904,not an electoral democracy
Algeria,DZA,1905,not an electoral democracy
Algeria,DZA,1906,not an electoral democracy
Algeria,DZA,1907,not an electoral democracy
Algeria,DZA,1908,not an electoral democracy
Algeria,DZA,1909,not an electoral democracy
Algeria,DZA,1910,not an electoral democracy
Algeria,DZA,1911,not an electoral democracy
Algeria,DZA,1912,not an electoral democracy
Algeria,DZA,1913,not an electoral democracy
Algeria,DZA,1914,not an electoral democracy
Algeria,DZA,1915,not an electoral democracy
Algeria,DZA,1916,not an electoral democracy
Algeria,DZA,1917,not an electoral democracy
Algeria,DZA,1918,not an electoral democracy
Algeria,DZA,1919,not an electoral democracy
Algeria,DZA,1920,not an electoral democracy
Algeria,DZA,1921,not an electoral democracy
Algeria,DZA,1922,not an electoral democracy
Algeria,DZA,1923,not an electoral democracy
Algeria,DZA,1924,not an electoral democracy
Algeria,DZA,1925,not an electoral democracy
Algeria,DZA,1926,not an electoral democracy
Algeria,DZA,1927,not an electoral democracy
Algeria,DZA,1928,not an electoral democracy
Algeria,DZA,1929,not an electoral democracy
Algeria,DZA,1930,not an electoral democracy
Algeria,DZA,1931,not an electoral democracy
Algeria,DZA,1932,not an electoral democracy
Algeria,DZA,1933,not an electoral democracy
Algeria,DZA,1934,not an electoral democracy
Algeria,DZA,1935,not an electoral democracy
Algeria,DZA,1936,not an electoral democracy
Algeria,DZA,1937,not an electoral democracy
Algeria,DZA,1938,not an electoral democracy
Algeria,DZA,1939,not an electoral democracy
Algeria,DZA,1940,not an electoral democracy
Algeria,DZA,1941,not an electoral democracy
Algeria,DZA,1942,not an electoral democracy
Algeria,DZA,1943,not an electoral democracy
Algeria,DZA,1944,not an electoral democracy
Algeria,DZA,1945,not an electoral democracy
Algeria,DZA,1946,not an electoral democracy
Algeria,DZA,1947,not an electoral democracy
Algeria,DZA,1948,not an electoral democracy
Algeria,DZA,1949,not an electoral democracy
Algeria,DZA,1950,not an electoral democracy
Algeria,DZA,1951,not an electoral democracy
Algeria,DZA,1952,not an electoral democracy
Algeria,DZA,1953,not an electoral democracy
Algeria,DZA,1954,not an electoral democracy
Algeria,DZA,1955,not an electoral democracy
Algeria,DZA,1956,not an electoral democracy
Algeria,DZA,1957,not an electoral democracy
Algeria,DZA,1958,not an electoral democracy
Algeria,DZA,1959,not an electoral democracy
Algeria,DZA,1960,not an electoral democracy
Algeria,DZA,1961,not an electoral democracy
Algeria,DZA,1962,not an electoral democracy
Algeria,DZA,1963,not an electoral democracy
Algeria,DZA,1964,not an electoral democracy
Algeria,DZA,1965,not an electoral democracy
Algeria,DZA,1966,not an electoral democracy
Algeria,DZA,1967,not an electoral democracy
Algeria,DZA,1968,not an electoral democracy
Algeria,DZA,1969,not an electoral democracy
Algeria,DZA,1970,not an electoral democracy
Algeria,DZA,1971,not an electoral democracy
Algeria,DZA,1972,not an electoral democracy
Algeria,DZA,1973,not an electoral democracy
Algeria,DZA,1974,not an electoral democracy
Algeria,DZA,1975,not an electoral democracy
Algeria,DZA,1976,not an electoral democracy
Algeria,DZA,1977,not an electoral democracy
Algeria,DZA,1978,not an electoral democracy
Algeria,DZA,1979,not an electoral democracy
Algeria,DZA,1980,not an electoral democracy
Algeria,DZA,1981,not an electoral democracy
Algeria,DZA,1982,not an electoral democracy
Algeria,DZA,1983,not an electoral democracy
Algeria,DZA,1984,not an electoral democracy
Algeria,DZA,1985,not an electoral democracy
Algeria,DZA,1986,not an electoral democracy
Algeria,DZA,1987,not an electoral democracy
Algeria,DZA,1988,not an electoral democracy
Algeria,DZA,1989,not an electoral democracy
Algeria,DZA,1990,not an electoral democracy
Algeria,DZA,1991,not an electoral democracy
Algeria,DZA,1992,not an electoral democracy
Algeria,DZA,1993,not an electoral democracy
Algeria,DZA,1994,not an electoral democracy
Algeria,DZA,1995,not an electoral democracy
Algeria,DZA,1996,not an electoral democracy
Algeria,DZA,1997,not an electoral democracy
Algeria,DZA,1998,not an electoral democracy
Algeria,DZA,1999,not an electoral democracy
Algeria,DZA,2000,not an electoral democracy
Algeria,DZA,2001,not an electoral democracy
Algeria,DZA,2002,not an electoral democracy
Algeria,DZA,2003,not an electoral democracy
Algeria,DZA,2004,not an electoral democracy
Algeria,DZA,2005,not an electoral democracy
Algeria,DZA,2006,not an electoral democracy
Algeria,DZA,2007,not an electoral democracy
Algeria,DZA,2008,not an electoral democracy
Algeria,DZA,2009,not an electoral democracy
Algeria,DZA,2010,not an electoral democracy
Algeria,DZA,2011,not an electoral democracy
Algeria,DZA,2012,not an electoral democracy
Algeria,DZA,2013,not an electoral democracy
Algeria,DZA,2014,not an electoral democracy
Algeria,DZA,2015,not an electoral democracy
Algeria,DZA,2016,not an electoral democracy
Algeria,DZA,2017,not an electoral democracy
Algeria,DZA,2018,not an electoral democracy
Algeria,DZA,2019,not an electoral democracy
Algeria,DZA,2020,not an electoral democracy
Angola,AGO,1789,no data
Angola,AGO,1790,no data
Angola,AGO,1791,no data
Angola,AGO,1792,no data
Angola,AGO,1793,no data
Angola,AGO,1794,no data
Angola,AGO,1795,no data
Angola,AGO,1796,no data
Angola,AGO,1797,no data
Angola,AGO,1798,no data
Angola,AGO,1799,no data
Angola,AGO,1800,no data
Angola,AGO,1801,no data
Angola,AGO,1802,no data
Angola,AGO,1803,no data
Angola,AGO,1804,no data
Angola,AGO,1805,no data
Angola,AGO,1806,no data
Angola,AGO,1807,no data
Angola,AGO,1808,no data
Angola,AGO,1809,no data
Angola,AGO,1810,no data
Angola,AGO,1811,no data
Angola,AGO,1812,no data
Angola,AGO,1813,no data
Angola,AGO,1814,no data
Angola,AGO,1815,no data
Angola,AGO,1816,no data
Angola,AGO,1817,no data
Angola,AGO,1818,no data
Angola,AGO,1819,no data
Angola,AGO,1820,no data
Angola,AGO,1821,no data
Angola,AGO,1822,no data
Angola,AGO,1823,no data
Angola,AGO,1824,no data
Angola,AGO,1825,no data
Angola,AGO,1826,no data
Angola,AGO,1827,no data
Angola,AGO,1828,no data
Angola,AGO,1829,no data
Angola,AGO,1830,no data
Angola,AGO,1831,no data
Angola,AGO,1832,no data
Angola,AGO,1833,no data
